song_id,song_name,popularity,danceability,energy,valence,acousticness,speechiness,artists,is_billboard
3z8h0TU7ReDPLIbEnYhWZb,Bohemian Rhapsody,72,0.39,0.397,0.246,0.287,0.0513,Queen,True
1XJBDDpeuZaj5fvmwhdIMw,Take One,58,0.66,0.615,0.501,0.114,0.47,Kodak Black,True
2VX37A1p7tkvrH2UJwAU0T,Desperate Man,57,0.711,0.796,0.901,0.0716,0.0341,Eric Church,False
4u8Gkqyg87iGSW3hQbbnQZ,Burn the House Down,63,0.454,0.66,0.568,0.0364,0.168,AJR,False
0AcicReEGm1qcENjqzh1Tg,Love Scars 3,70,0.544,0.524,0.117,0.136,0.0621,Trippie Redd,True
2RSHsoi04658QL5xgQVov3,Bad Liar,82,0.383,0.637,0.0827,0.0722,0.0703,Imagine Dragons,True
2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,79,0.553,0.502,0.296,0.299,0.0409,Lady Gaga,False
1SxagO9GK0UUeEYLmH8Pln,Toxic Waste,63,0.728,0.517,0.379,0.0555,0.0629,Trippie Redd,True
0OgGn1ofaj55l2PcihQQGV,Drew Barrymore,73,0.763,0.572,0.25,0.493,0.0595,Bryce Vine,False
514rhnksEwHUh6LxXsQ4Y9,Back To You,73,0.6,0.683,0.494,0.0984,0.0493,Selena Gomez,False
6NFyWDv5CjfwuzoCkw47Xf,Delicate,74,0.75,0.404,0.0499,0.216,0.0682,Taylor Swift,True
1fvCggAYrW0VtCljtqv4h2,Last Memory,61,0.854,0.708,0.172,0.175,0.244,Takeoff,True
33471tzU1VghDg9zNgGRpz,Hotel Key,68,0.758,0.867,0.964,0.152,0.0475,Old Dominion,True
1jo3TwNGCXfNdB5uba3ZVv,Killshot,76,0.892,0.651,0.599,0.0989,0.378,Eminem,False
1B4gJRq61xTs6r1O0Uq2iY,Casper,71,0.921,0.607,0.753,0.525,0.209,Takeoff,True
7azo4rpSUh8nXgtonC6Pkq,Thriller,66,0.764,0.887,0.721,0.0816,0.0738,Michael Jackson,True
09IStsImFySgyp0pIQdqAc,The Middle,83,0.753,0.657,0.437,0.171,0.0449,"Maren Morris, Grey, Zedd",True
1kFBLqkTuNKlspkJ1EOGjN,Drunk Girl,65,0.485,0.306,0.224,0.794,0.0409,Chris Janson,True
0oagwWkGlBoACUuKvTmqZV,A Million Dreams,68,0.312,0.499,0.191,0.272,0.0397,P!nk,False
0Fpen1PTuEnCmOJtUU9Iud,New Patek,73,0.85,0.785,0.718,0.0367,0.345,Lil Uzi Vert,False
7uVkYr8gxcPEgqohvynpdN,Break Up in the End,51,0.51,0.386,0.266,0.456,0.0307,Cole Swindell,False
3to5UxKsozb4T6CfwHuhLJ,Kamikaze,75,0.792,0.571,0.556,0.301,0.094,Lil Mosey,True
2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,82,0.699,0.713,0.354,0.04,0.0594,Ariana Grande,True
2vs5ubqg8QUbfyWZpMfvWe,Astronauts,61,0.732,0.586,0.73,0.0402,0.232,"Future, Juice WRLD",True
7stcuQtnHL7C6XdPvpwywv,Vertigo,67,0.487,0.458,0.207,0.552,0.0371,Khalid,True
2EhJijFUs0WUmNClDBpYJq,Make It Back,62,0.75,0.387,0.739,0.122,0.487,Juice WRLD,True
7jr3iPu4O4bTCVwLMbdU2i,Kiss and Make Up,79,0.678,0.729,0.643,0.0658,0.137,"BLACKPINK, Dua Lipa",False
3ZPKocroJIcnHGcnJVlLKD,Africa,64,0.534,0.784,0.6,0.205,0.0339,Weezer,False
3lFf4DnT68QjQGB3iq1BJ9,Meant To Be,5,0.671,0.668,0.487,0.161,0.0851,2017 Dynamo Hitz,False
4L9Ds4mpD3SuYoWwFUlv16,Simple,76,0.362,0.882,0.864,0.0791,0.0973,Florida Georgia Line,False
4lFfMRH0YH4pW5gczTDbNC,Medicine,69,0.741,0.37,0.13,0.24,0.324,Queen Naija,False
6Q36XucqrejMId3RydVhch,BIGGEST ALLEY OOP,60,0.86,0.408,0.0548,0.166,0.189,Quavo,True
7pVzUPjJ83QojsVcOthmxP,HUNCHO DREAMS,51,0.831,0.528,0.232,0.0894,0.534,Quavo,True
53yTYusPQJ1AApL1hi0Dnc,"Sunrise, Sunburn, Sunset",68,0.472,0.884,0.718,0.185,0.0584,Luke Bryan,True
7HdNB8nvJOBwHa8hIkzvxp,"If I'm Lyin, I'm Flyin",63,0.715,0.617,0.283,0.0996,0.24,Kodak Black,True
378u8gf9qpJ4ZhxHEvrodl,Is That Alright?,62,0.557,0.279,0.263,0.868,0.0372,Lady Gaga,False
